,logmove
134,8.110126802
135,9.639522007
136,8.201934351
137,8.462948177
138,8.877381955
139,9.99369382
140,8.449342525
141,7.82244473
142,8.589699882
143,9.2023082
144,7.920083199
145,7.560080465
146,7.685243608
147,7.742402022
148,7.943072717
149,8.050703382
150,8.51559191
151,7.796469243
152,8.565602331
153,8.166216269
154,7.943072717
155,9.431882642
156,8.286017468
157,9.329367078
158,7.847762538
159,9.790094865
160,9.17616292
161,7.98752448
162,8.462948177
163,9.221478116
164,9.208739091
165,8.236420527
166,9.970024076
167,8.859363449
168,8.476371197
169,9.987828701
170,8.636219898
171,9.010913347
172,8.743850562
173,9.2023082
174,9.182763604
175,9.481893063
176,8.577723691
177,8.764053269
178,9.00307017
179,9.169518378
180,8.317766167
181,8.912473275
182,8.971067439
183,9.411156511
184,9.967025573
185,8.565602331
186,8.850230966
187,9.680344001
188,8.831711918
189,8.754002934
190,8.51559191
191,8.129174997
192,8.378390789
193,7.896552702
194,9.258749511
195,7.920083199
196,7.943072717
197,8.435549202
198,8.60153434
199,9.114710141
200,8.317766167
201,8.51559191
202,9.128696383
203,9.601300794
204,8.219326094
205,8.929567708
206,7.592870288
207,8.253227646
208,8.166216269
209,8.66974259
210,10.03100087
211,8.392989588
212,8.14786713
213,8.702177866
214,8.489616424
215,8.269756948
216,9.264828557
217,8.476371197
218,8.407378325
219,8.392989588
220,8.435549202
221,7.796469243
222,7.920083199
223,8.476371197
224,8.66974259
225,10.30306872
226,10.32430094
227,7.847762538
228,7.049254841
229,7.98752448
230,9.368369236
231,11.17099838
232,7.896552702
233,10.75739211
234,9.252633284
235,10.92045585
236,10.94447073
237,7.943072717
238,8.269756948
239,10.86329744
240,10.18956834
241,8.61323038
242,7.943072717
243,8.090708716
244,7.847762538
245,8.636219898
246,8.624791202
247,11.0289365
248,10.09641929
249,10.38541975
250,8.946374826
251,9.121727714
252,8.636219898
253,7.560080465
254,9.45720045
255,10.86818742
256,10.37148918
257,7.491087594
258,6.556778356
259,10.66167313
260,10.70279493
261,11.00476296
262,7.965545573
263,8.378390789
264,10.96902553
265,7.87245515
266,8.822322178
267,10.90176372
268,7.87245515
269,7.526178913
270,7.203405521
271,7.416979621
272,10.46515837
273,9.049232212
274,8.803273983
275,8.987196821
276,7.655390645
277,7.87245515
278,8.286017468
279,8.636219898
280,7.336936914
281,7.560080465
282,10.69702291
283,10.45230236
284,8.764053269
285,7.685243608
286,7.714231145
287,8.201934351
288,8.540909718
289,7.847762538
290,8.201934351
291,10.73535265
292,7.98752448
293,8.691482577
294,8.793612072
295,9.852615222
296,7.685243608
297,7.714231145
298,8.60153434
299,9.078864009
300,8.009030685
301,10.64960662
302,8.764053269
303,9.195835686
304,7.98752448
305,6.643789733
306,6.797940413
307,9.967025573
308,10.19436452
309,7.249925537
310,9.656051309
311,10.47965138
312,8.090708716
313,8.743850562
314,10.09112827
315,10.43552657
316,9.252633284
317,8.14786713
318,10.40885833
319,9.643680017
320,7.624618986
321,10.66765222
322,11.24812624
323,8.962904128
324,11.04745554
325,8.895081532
326,7.526178913
327,7.98752448
328,7.294377299
329,8.166216269
330,7.491087594
331,7.769800996
332,10.75602879
333,11.17279856
334,10.45783233
335,7.454719949
336,8.540909718
337,7.98752448
338,9.939626599
339,8.68067166
340,10.48681987
341,6.104793232
342,7.742402022
343,10.37548918
344,8.462948177
345,8.050703382
346,8.528330936
347,6.797940413
348,10.96681803
349,10.93766798
350,8.363575703
351,7.98752448
352,7.249925537
353,9.086136769
354,8.66974259
355,9.246479419
356,10.59021417
357,8.553332238
358,10.76957913
359,8.60153434
360,11.34199479
361,9.142489705
362,11.36005397
363,7.294377299
364,11.15281606
365,10.67211319
366,11.41518032
367,10.92967251
368,10.10691807
369,8.392989588
370,10.09905434
371,8.743850562
372,8.090708716
373,7.336936914
374,10.57724802
375,10.34714721
376,10.86818742
377,9.939626599
378,7.592870288
379,8.30201781
380,8.363575703
381,10.85838342
382,7.249925537
383,9.100525506
384,8.090708716
385,10.58213005
386,8.090708716
387,6.238324625
388,8.61323038
389,8.702177866
390,11.10103979
391,8.793612072
392,8.166216269
393,10.2156671
394,7.377758908
395,7.203405521
396,6.866933285
397,10.13014492
398,7.249925537
399,10.28575227
400,8.42156296
401,7.249925537
402,8.962904128
403,8.184234774
404,10.85096683
405,8.070906089
406,7.203405521
407,7.685243608
408,7.249925537
409,7.416979621
410,10.10952564
411,10.25920204
412,10.19196931
413,7.796469243
414,8.286017468
415,10.79745087
416,8.812843434
417,8.783855897
418,8.348537825
419,7.847762538
420,7.592870288
421,7.624618986
422,8.236420527
423,8.333270353
424,8.30201781
425,8.201934351
426,7.655390645
427,8.14786713
428,8.589699882
429,6.992096427
430,9.357380115
431,8.733594062
432,7.154615357
433,8.733594062
434,8.30201781
435,8.691482577
436,8.462948177
437,6.866933285
438,9.246479419
439,8.201934351
440,8.68067166
441,7.847762538
442,8.859363449
443,8.030084094
444,8.378390789
445,8.877381955
446,8.589699882
447,6.723832441
448,8.201934351
449,7.796469243
450,9.034080407
451,8.502688505
452,8.070906089
453,7.98752448
454,8.66974259
455,9.828764006
456,7.249925537
457,7.154615357
458,8.110126802
459,8.129174997
460,8.269756948
461,7.592870288
462,7.82244473
463,9.3899917
464,6.723832441
465,8.624791202
466,6.556778356
467,7.98752448
468,8.658692754
469,8.462948177
470,9.601300794
471,9.452187908
472,8.7740036
473,8.378390789
474,7.943072717
475,9.14931567
476,8.129174997
477,9.234056899
478,8.938006577
479,9.346268889
480,7.526178913
481,7.742402022
482,8.636219898
483,7.769800996
484,8.812843434
485,8.166216269
486,8.895081532
487,8.435549202
488,9.049232212
489,7.624618986
490,7.454719949
491,8.070906089
492,8.050703382
493,8.502688505
494,7.82244473
495,7.98752448
496,7.203405521
497,8.702177866
498,8.363575703
499,6.461468176
500,6.461468176
501,8.184234774
502,8.462948177
503,8.435549202
504,9.246479419
505,8.502688505
506,8.110126802
507,9.29468152
508,8.895081532
509,8.378390789
510,8.110126802
511,8.090708716
512,7.416979621
513,8.378390789
514,7.249925537
515,7.454719949
516,8.850230966
517,9.034080407
518,8.658692754
519,8.971067439
520,7.847762538
521,7.049254841
522,8.921057018
523,8.831711918
524,8.712759975
525,8.449342525
526,8.565602331
527,8.647519453
528,6.643789733
529,7.592870288
530,8.317766167
531,8.070906089
532,8.636219898
533,8.30201781
534,9.252633284
535,8.435549202
536,8.938006577
537,8.733594062
538,9.018695488
539,7.965545573
540,8.647519453
541,8.754002934
542,7.98752448
543,8.201934351
544,8.348537825
545,8.253227646
546,9.373818841
547,8.66974259
548,8.723231275
549,6.992096427
550,8.528330936
551,8.030084094
552,9.967025573
553,8.462948177
554,7.87245515
555,8.129174997
556,7.655390645
557,7.103322063
558,7.249925537
559,8.269756948
560,7.685243608
561,7.203405521
562,8.363575703
563,8.691482577
564,8.624791202
565,8.921057018
566,8.841014311
567,8.803273983
568,7.847762538
569,8.166216269
570,8.733594062
571,8.723231275
572,9.416378455
573,8.868413285
574,8.764053269
575,8.30201781
576,7.847762538
577,8.269756948
578,7.965545573
579,7.526178913
580,8.333270353
581,9.142489705
582,8.070906089
583,8.333270353
584,8.51559191
585,8.407378325
586,8.712759975
587,9.018695488
588,8.712759975
589,8.51559191
590,8.435549202
591,9.208739091
592,9.3899917
593,8.868413285
594,7.049254841
595,8.912473275
596,8.286017468
597,8.070906089
598,8.754002934
599,8.754002934
600,7.624618986
601,8.647519453
602,7.249925537
603,8.502688505
604,7.714231145
605,6.797940413
606,8.624791202
607,8.803273983
608,9.570529135
609,8.822322178
610,8.407378325
611,8.14786713
612,7.769800996
613,8.378390789
614,7.796469243
615,9.252633284
616,8.946374826
617,8.658692754
618,8.253227646
619,6.238324625
620,7.87245515
621,9.026417534
622,7.920083199
623,9.221478116
624,8.333270353
625,8.502688505
626,8.877381955
627,7.82244473
628,8.166216269
629,8.42156296
630,8.378390789
631,8.30201781
632,8.61323038
633,7.714231145
634,8.502688505
635,8.841014311
636,8.61323038
637,8.166216269
638,8.577723691
639,8.553332238
640,8.60153434
641,8.269756948
642,8.702177866
643,8.502688505
644,8.60153434
645,8.553332238
646,8.392989588
647,9.026417534
648,8.317766167
649,8.803273983
650,7.454719949
651,8.184234774
652,8.66974259
653,8.449342525
654,8.502688505
655,8.783855897
656,9.2023082
657,8.407378325
658,8.903815212
659,8.51559191
660,8.565602331
661,9.162829389
662,7.943072717
663,8.476371197
664,8.219326094
665,7.98752448
666,7.796469243
667,7.98752448
668,7.82244473
669,8.938006577
670,8.577723691
671,8.449342525
672,8.201934351
673,8.166216269
674,8.090708716
675,7.965545573
676,8.030084094
677,8.462948177
678,8.30201781
679,8.317766167
680,7.796469243
681,8.962904128
682,7.624618986
683,9.00307017
684,7.454719949
685,7.154615357
686,9.14931567
687,7.796469243
688,8.589699882
689,8.253227646
690,7.98752448
691,7.847762538
692,8.60153434
693,7.377758908
694,8.577723691
695,8.987196821
696,8.166216269
697,8.733594062
698,8.793612072
699,8.14786713
700,8.877381955
701,8.090708716
702,8.877381955
703,8.647519453
704,8.841014311
705,9.142489705
706,8.971067439
707,8.269756948
708,9.462187991
709,8.090708716
710,8.286017468
711,8.050703382
712,9.30637756
713,8.954673629
714,7.560080465
715,7.943072717
716,8.236420527
717,8.868413285
718,6.931471806
719,8.462948177
720,8.903815212
721,7.87245515
722,8.938006577
723,8.435549202
724,9.2023082
725,7.714231145
726,7.943072717
727,8.449342525
728,7.965545573
729,8.764053269
730,8.166216269
731,9.85597657
732,7.847762538
733,8.236420527
734,8.201934351
735,8.489616424
736,8.841014311
737,7.847762538
738,8.110126802
739,8.050703382
740,8.954673629
741,8.895081532
742,8.14786713
743,8.577723691
744,8.435549202
745,8.236420527
746,7.685243608
747,7.655390645
748,9.400630098
749,8.363575703
750,8.392989588
751,8.691482577
752,8.219326094
753,8.236420527
754,8.743850562
755,8.476371197
756,8.7740036
757,7.98752448
758,7.98752448
759,8.489616424
760,8.962904128
761,8.030084094
762,8.253227646
763,8.333270353
764,8.42156296
765,8.30201781
766,8.050703382
767,8.841014311
768,8.528330936
769,7.624618986
770,8.565602331
771,8.317766167
772,8.636219898
773,8.050703382
774,8.489616424
775,9.107642974
776,8.489616424
777,8.60153434
778,7.526178913
779,8.723231275
780,8.702177866
781,7.714231145
782,7.920083199
783,8.783855897
784,8.009030685
785,8.30201781
786,8.812843434
787,9.69621735
788,8.743850562
789,7.796469243
790,8.624791202
791,8.30201781
792,8.783855897
793,9.018695488
794,8.407378325
795,8.166216269
796,8.733594062
797,8.449342525
798,8.392989588
799,8.850230966
800,8.070906089
801,7.560080465
802,7.655390645
803,8.42156296
804,8.009030685
805,8.110126802
806,9.452187908
807,8.090708716
808,9.107642974
809,9.071537969
810,8.979164649
811,9.093357017
812,8.553332238
813,8.589699882
814,7.98752448
815,8.502688505
816,8.754002934
817,9.221478116
818,8.184234774
819,8.378390789
820,9.121727714
821,7.714231145
822,8.435549202
823,7.416979621
824,8.723231275
825,8.733594062
826,8.803273983
827,8.877381955
828,8.502688505
829,8.929567708
830,8.647519453
831,9.258749511
832,8.895081532
833,8.070906089
834,9.162829389
835,8.050703382
836,9.477003077
837,7.249925537
838,8.14786713
839,8.363575703
840,8.286017468
841,8.877381955
842,7.965545573
843,9.169518378
844,9.373818841
845,8.269756948
846,7.685243608
847,7.965545573
848,8.803273983
849,8.009030685
850,8.61323038
851,7.796469243
852,10.85838342
853,8.348537825
854,10.40110635
855,9.026417534
856,10.76957913
857,8.553332238
858,6.866933285
859,8.859363449
860,7.624618986
861,8.030084094
862,7.714231145
863,8.624791202
864,8.090708716
865,6.797940413
866,10.75739211
867,6.104793232
868,8.110126802
869,7.796469243
870,9.093357017
871,9.651944527
872,7.203405521
873,9.872615889
874,7.87245515
875,8.378390789
876,10.66317126
877,7.943072717
878,10.21332243
879,6.797940413
880,11.15647907
881,8.502688505
882,6.723832441
883,9.018695488
884,9.936535407
885,8.348537825
886,6.238324625
887,9.768354879
888,7.98752448
889,8.540909718
890,7.560080465
891,7.87245515
892,10.912321
893,6.931471806
894,8.733594062
895,6.461468176
896,10.35328847
897,10.31374118
898,7.294377299
899,10.36948316
900,8.743850562
901,7.82244473
902,7.249925537
903,10.60301434
904,10.31161578
905,10.12502982
906,9.660141294
907,10.41846455
908,10.23881628
909,8.754002934
910,9.761001904
911,8.528330936
912,8.66974259
913,7.154615357
914,10.32009041
915,10.64351832
916,8.476371197
917,7.154615357
918,8.540909718
919,10.30521234
920,9.379238908
921,10.34714721
922,9.936535407
923,10.7722673
924,7.049254841
925,8.286017468
926,7.336936914
927,6.356107661
928,10.28575227
929,7.655390645
930,10.65263692
931,10.81174611
932,8.859363449
933,7.336936914
934,10.49570882
935,10.01395501
936,10.05328592
937,7.714231145
938,7.82244473
939,7.624618986
940,7.336936914
941,8.462948177
942,8.929567708
943,8.070906089
944,8.723231275
945,8.14786713
946,7.154615357
947,8.962904128
948,7.847762538
949,7.377758908
950,8.743850562
951,8.912473275
952,9.329367078
953,7.377758908
954,8.476371197
955,7.491087594
956,10.31374118
957,7.920083199
958,10.60618895
959,8.723231275
960,7.454719949
961,7.454719949
962,6.797940413
963,7.943072717
964,8.565602331
965,8.502688505
966,10.62347139
967,8.070906089
968,7.336936914
969,8.253227646
970,8.050703382
971,10.51499074
972,10.67655436
973,9.930324207
974,8.702177866
975,8.110126802
976,8.009030685
977,7.796469243
978,8.99516499
979,8.946374826
980,10.04776104
981,10.76147098
982,10.46515837
983,10.4559924
984,7.896552702
985,7.592870288
986,9.734832187
987,8.877381955
988,7.87245515
989,9.447150114
990,8.702177866
991,10.57234204
992,7.714231145
993,5.950642553
994,7.714231145
995,9.882468185
996,7.560080465
997,10.03100087
998,6.556778356
999,6.931471806
1000,8.565602331
1001,10.63892765
1002,7.049254841
1003,9.486759252
1004,7.87245515
1005,8.184234774
1006,6.104793232
1007,9.828764006
1008,7.491087594
1009,10.58213005
1010,7.87245515
1011,8.51559191
1012,8.7740036
1013,8.333270353
1014,10.06424493
1015,10.73674444
1016,10.09377728
1017,9.411156511
1018,7.416979621
1019,8.540909718
1020,7.98752448
1021,8.110126802
1022,6.866933285
1023,8.42156296
1024,8.476371197
1025,8.166216269
1026,8.201934351
1027,8.009030685
1028,7.103322063
1029,6.723832441
1030,7.416979621
1031,8.253227646
1032,7.769800996
1033,10.52018556
1034,8.553332238
1035,10.17504024
1036,10.19196931
1037,8.658692754
1038,10.34714721
1039,8.269756948
1040,8.333270353
1041,10.04776104
1042,8.754002934
1043,7.98752448
1044,10.86940619
1045,10.39915893
1046,7.685243608
1047,6.992096427
1048,9.970024076
1049,8.476371197
1050,10.44114983
1051,9.828764006
1052,10.38936453
1053,7.294377299
1054,7.416979621
1055,9.601300794
1056,9.114710141
1057,9.793672687
1058,10.02818
1059,9.832206351
1060,10.63739273
1061,10.12246243
1062,7.454719949
1063,8.528330936
1064,7.203405521
1065,9.704060528
1066,8.348537825
1067,8.435549202
1068,8.489616424
1069,9.221478116
1070,9.056722883
1071,8.743850562
1072,9.240287448
1073,9.169518378
1074,10.37947325
1075,9.930324207
1076,7.294377299
1077,7.294377299
1078,6.992096427
1079,7.203405521
1080,10.07508515
1081,10.18474906
1082,7.796469243
1083,8.476371197
1084,8.14786713
1085,8.859363449
1086,6.556778356
1087,7.336936914
1088,6.866933285
1089,7.796469243
1090,8.201934351
1091,8.090708716
1092,9.631153757
1093,8.877381955
1094,7.203405521
1095,8.99516499
1096,7.294377299
1097,8.841014311
1098,8.723231275
1099,7.796469243
1100,6.931471806
1101,8.009030685
1102,9.00307017
1103,8.754002934
1104,7.416979621
1105,7.454719949
1106,8.090708716
1107,8.269756948
1108,8.489616424
1109,7.98752448
1110,7.714231145
1111,8.553332238
1112,8.407378325
1113,8.723231275
1114,6.723832441
1115,8.090708716
1116,9.00307017
1117,7.294377299
1118,9.379238908
1119,8.070906089
1120,8.363575703
1121,8.42156296
1122,9.010913347
1123,8.831711918
1124,8.712759975
1125,8.009030685
1126,8.540909718
1127,6.931471806
1128,9.078864009
1129,7.896552702
1130,6.643789733
1131,8.236420527
1132,6.931471806
1133,7.336936914
1134,8.793612072
1135,8.333270353
1136,6.797940413
1137,8.946374826
1138,7.943072717
1139,8.219326094
1140,9.086136769
1141,8.946374826
1142,8.476371197
1143,8.435549202
1144,9.538780437
1145,8.070906089
1146,9.056722883
1147,7.82244473
1148,7.742402022
1149,8.476371197
1150,8.42156296
1151,8.090708716
1152,7.87245515
1153,8.110126802
1154,9.182763604
1155,8.050703382
1156,8.540909718
1157,6.461468176
1158,8.050703382
1159,9.086136769
1160,8.184234774
1161,8.60153434
1162,8.110126802
1163,8.822322178
1164,7.847762538
1165,7.98752448
1166,8.166216269
1167,9.543378146
1168,8.921057018
1169,8.348537825
1170,7.491087594
1171,8.946374826
1172,7.294377299
1173,8.589699882
1174,7.82244473
1175,8.392989588
1176,8.624791202
1177,8.201934351
1178,9.208739091
1179,8.68067166
1180,8.636219898
1181,7.526178913
1182,8.236420527
1183,8.392989588
1184,7.714231145
1185,8.877381955
1186,8.743850562
1187,7.560080465
1188,6.104793232
1189,8.702177866
1190,8.449342525
1191,6.356107661
1192,7.943072717
1193,8.61323038
1194,9.30637756
1195,7.377758908
1196,8.348537825
1197,8.449342525
1198,8.201934351
1199,9.010913347
1200,8.589699882
1201,8.14786713
1202,9.078864009
1203,8.378390789
1204,6.992096427
1205,8.407378325
1206,8.009030685
1207,8.565602331
1208,8.435549202
1209,7.454719949
1210,8.7740036
1211,6.992096427
1212,9.142489705
1213,7.796469243
1214,8.110126802
1215,9.010913347
1216,6.104793232
1217,6.866933285
1218,9.282847063
1219,7.049254841
1220,7.203405521
1221,8.392989588
1222,6.797940413
1223,8.236420527
1224,7.526178913
1225,8.733594062
1226,8.60153434
1227,9.010913347
1228,8.462948177
1229,8.476371197
1230,8.754002934
1231,8.449342525
1232,7.796469243
1233,8.565602331
1234,8.090708716
1235,6.104793232
1236,8.090708716
1237,9.240287448
1238,7.685243608
1239,8.219326094
1240,8.219326094
1241,8.577723691
1242,6.461468176
1243,5.257495372
1244,8.14786713
1245,8.129174997
1246,8.269756948
1247,8.553332238
1248,9.071537969
1249,8.009030685
1250,8.702177866
1251,8.903815212
1252,8.166216269
1253,6.797940413
1254,4.158883083
1255,8.110126802
1256,8.528330936
1257,8.42156296
1258,8.070906089
1259,8.378390789
1260,6.931471806
1261,8.449342525
1262,7.920083199
1263,8.812843434
1264,8.51559191
1265,6.723832441
1266,7.896552702
1267,8.877381955
1268,7.82244473
1269,7.491087594
1270,8.42156296
1271,7.049254841
1272,8.236420527
1273,8.51559191
1274,6.797940413
1275,9.66827142
1276,6.797940413
1277,7.377758908
1278,8.859363449
1279,6.866933285
1280,8.528330936
1281,8.286017468
1282,8.070906089
1283,7.920083199
1284,8.269756948
1285,8.009030685
1286,9.496421163
1287,9.264828557
1288,8.050703382
1289,7.049254841
1290,8.236420527
1291,8.60153434
1292,8.14786713
1293,8.859363449
1294,8.050703382
1295,7.847762538
1296,8.253227646
1297,8.30201781
1298,8.462948177
1299,7.98752448
1300,8.219326094
1301,8.462948177
1302,8.333270353
1303,9.276876896
1304,8.68067166
1305,8.449342525
1306,7.965545573
1307,8.658692754
1308,8.764053269
1309,9.121727714
1310,9.049232212
1311,8.14786713
1312,8.66974259
1313,7.87245515
1314,9.264828557
1315,9.264828557
1316,8.868413285
1317,8.850230966
1318,8.269756948
1319,7.965545573
1320,9.00307017
1321,8.60153434
1322,8.030084094
1323,8.987196821
1324,7.103322063
1325,8.476371197
1326,7.847762538
1327,9.719564714
1328,6.797940413
1329,9.056722883
1330,8.886270902
1331,8.822322178
1332,9.379238908
1333,9.121727714
1334,8.99516499
1335,9.100525506
1336,8.030084094
1337,8.449342525
1338,9.189321005
1339,8.764053269
1340,8.070906089
1341,8.070906089
1342,9.276876896
1343,9.631153757
1344,10.01108556
1345,7.896552702
1346,8.577723691
1347,8.070906089
1348,8.841014311
1349,8.7740036
1350,8.348537825
1351,8.030084094
1352,8.090708716
1353,8.66974259
1354,8.793612072
1355,8.723231275
1356,9.026417534
1357,9.17616292
1358,9.400630098
1359,8.462948177
1360,8.070906089
1361,8.489616424
1362,8.236420527
1363,9.026417534
1364,9.501217335
1365,9.570529135
1366,8.99516499
1367,8.14786713
1368,8.070906089
1369,8.184234774
1370,9.865993348
1371,9.357380115
1372,8.850230966
1373,8.60153434
1374,8.489616424
1375,8.286017468
1376,7.592870288
1377,8.987196821
1378,9.049232212
1379,7.796469243
1380,8.348537825
1381,8.61323038
1382,8.286017468
1383,8.68067166
1384,8.30201781
1385,8.219326094
1386,8.754002934
1387,8.658692754
1388,8.462948177
1389,9.76468515
1390,9.442086812
1391,9.501217335
1392,7.796469243
1393,8.201934351
1394,8.42156296
1395,8.348537825
1396,8.476371197
1397,9.317938383
1398,9.00307017
1399,8.090708716
1400,9.234056899
1401,8.624791202
1402,8.489616424
1403,8.42156296
1404,8.66974259
1405,9.240287448
1406,8.962904128
1407,8.236420527
1408,8.476371197
1409,8.462948177
1410,8.30201781
1411,8.912473275
1412,8.971067439
1413,8.489616424
1414,8.841014311
1415,8.658692754
1416,9.346268889
1417,8.14786713
1418,8.895081532
1419,9.071537969
1420,8.51559191
1421,9.317938383
1422,8.743850562
1423,7.560080465
1424,9.107642974
1425,8.743850562
1426,9.00307017
1427,8.868413285
1428,8.236420527
1429,8.702177866
1430,7.943072717
1431,9.67633598
1432,7.685243608
1433,8.743850562
1434,7.769800996
1435,9.282847063
1436,9.100525506
1437,9.2023082
1438,8.201934351
1439,9.17616292
1440,8.42156296
1441,9.142489705
1442,8.253227646
1443,8.333270353
1444,7.714231145
1445,8.60153434
1446,9.056722883
1447,8.624791202
1448,9.010913347
1449,9.496421163
1450,8.702177866
1451,9.208739091
1452,7.965545573
1453,8.201934351
1454,8.877381955
1455,8.30201781
1456,9.252633284
1457,8.528330936
1458,7.920083199
1459,9.169518378
1460,7.491087594
1461,8.269756948
1462,7.592870288
1463,7.742402022
1464,8.691482577
1465,8.979164649
1466,9.323669057
1467,8.070906089
1468,8.553332238
1469,8.723231275
1470,9.162829389
1471,8.363575703
1472,7.685243608
1473,7.049254841
1474,8.090708716
1475,9.00307017
1476,9.215128889
1477,8.565602331
1478,9.156095357
1479,8.946374826
1480,7.454719949
1481,8.502688505
1482,8.502688505
1483,8.831711918
1484,8.912473275
1485,8.577723691
1486,9.707959168
1487,8.030084094
1488,8.378390789
1489,8.129174997
1490,8.528330936
1491,8.831711918
1492,8.407378325
1493,9.078864009
1494,9.17616292
1495,8.61323038
1496,9.034080407
1497,7.87245515
1498,8.030084094
1499,8.286017468
1500,9.588228712
1501,8.407378325
1502,9.049232212
1503,8.476371197
1504,8.691482577
1505,8.733594062
1506,8.803273983
1507,8.070906089
1508,9.651944527
1509,9.384629757
1510,8.030084094
1511,8.712759975
1512,8.333270353
1513,8.540909718
1514,9.29468152
1515,9.010913347
1516,9.462187991
1517,7.87245515
1518,8.528330936
1519,8.868413285
1520,9.064157862
1521,8.831711918
1522,8.929567708
1523,8.14786713
1524,8.201934351
1525,9.264828557
1526,8.895081532
1527,9.018695488
1528,8.841014311
1529,8.333270353
1530,8.553332238
1531,9.00307017
1532,8.363575703
1533,9.107642974
1534,9.939626599
1535,8.7740036
1536,10.16277015
1537,8.166216269
1538,7.154615357
1539,9.195835686
1540,8.702177866
1541,9.790094865
1542,8.938006577
1543,8.61323038
1544,8.702177866
1545,10.11212642
1546,9.452187908
1547,9.447150114
1548,9.447150114
1549,9.317938383
1550,9.800790154
1551,8.895081532
1552,8.987196821
1553,8.850230966
1554,8.449342525
1555,8.60153434
1556,8.68067166
1557,8.577723691
1558,8.489616424
1559,9.520175249
1560,8.166216269
1561,8.589699882
1562,8.702177866
1563,8.624791202
1564,8.929567708
1565,9.807857322
1566,8.850230966
1567,7.769800996
1568,9.888982866
1569,9.010913347
1570,10.07238609
1571,10.52191119
1572,10.45414909
1573,8.7740036
1574,10.06696602
1575,8.540909718
1576,9.135616826
1577,8.184234774
1578,8.317766167
1579,8.624791202
1580,10.20151592
1581,8.166216269
1582,10.3368272
1583,8.51559191
1584,9.041685006
1585,7.896552702
1586,8.831711918
1587,9.056722883
1588,10.5934296
1589,8.929567708
1590,9.786504197
1591,8.903815212
1592,8.859363449
1593,10.22730867
1594,10.196754
1595,9.142489705
1596,9.442086812
1597,8.783855897
1598,9.114710141
1599,9.182763604
1600,8.14786713
1601,9.182763604
1602,8.7740036
1603,8.269756948
1604,9.534161491
1605,8.540909718
1606,9.00307017
1607,8.723231275
1608,8.812843434
1609,9.970024076
1610,8.317766167
1611,9.100525506
1612,7.965545573
1613,8.348537825
1614,9.436997743
1615,8.489616424
1616,10.01681624
1617,8.712759975
1618,8.783855897
1619,8.184234774
1620,8.743850562
1621,8.647519453
1622,9.818365299
1623,9.742379392
1624,9.00307017
1625,10.25920204
1626,8.850230966
1627,8.803273983
1628,9.317938383
1629,8.946374826
1630,9.086136769
1631,8.317766167
1632,7.82244473
1633,8.903815212
1634,8.822322178
1635,8.502688505
1636,8.14786713
1637,8.184234774
1638,9.529521112
1639,8.449342525
1640,9.911455722
1641,8.540909718
1642,8.647519453
1643,8.476371197
1644,8.712759975
1645,9.936535407
1646,9.579418083
1647,7.943072717
1648,10.1326927
1649,8.363575703
1650,9.534161491
1651,9.77201119
1652,10.11212642
1653,9.086136769
1654,10.13776885
1655,9.631153757
1656,8.449342525
1657,9.839055692
1658,9.939626599
1659,10.24792796
1660,9.967025573
1661,9.447150114
1662,10.08580911
1663,8.723231275
1664,8.090708716
